,代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
287,601288.XSHG,农业银行,11969.4199,29691.9,15,1979.46,4
288,601298.XSHG,青岛港,462.1663,472.9778223375,15,31.5318548225,4
289,601318.XSHG,中国平安,15558.3135,16541.76,15,1102.784,5
290,601328.XSHG,交通银行,3512.627,10812.9,15,720.86,4
291,601339.XSHG,百隆东方,65.7,68.55201848212499,15,4.570134565475,4
292,601390.XSHG,中国中铁,1469.3416,2604.4388625,15,173.6292575,4
293,601398.XSHG,工商银行,19780.5469,44032.425,15,2935.495,4
294,601515.XSHG,东风股份,80.8651,89.19846995962502,15,5.946564663975001,4
295,601566.XSHG,九牧王,61.1989,68.27546386125,15,4.551697590750001,4
296,601567.XSHG,三星医疗,92.0682,121.086149960625,15,8.072409997374999,4
297,601577.XSHG,长沙银行,363.0269,625.4866875,15,41.6991125,4
298,601588.XSHG,北辰实业,79.125,171.917118,15,11.4611412,4
299,601598.XSHG,中国外运,353.7584,377.457032249625,15,25.163802149974998,4
300,601607.XSHG,上海医药,541.7022,550.4661276142499,15,36.697741840949995,4
301,601618.XSHG,中国中冶,673.5176,915.323925,15,61.021595,4
302,601658.XSHG,邮储银行,5175.2246,7527.3,15,501.82,4
303,601666.XSHG,平煤股份,125.1845,150.016468364625,15,10.001097890975,4
304,601668.XSHG,中国建筑,2173.7908,5360.048475,15,357.336565,4
305,601669.XSHG,中国电建,622.6707,1090.2353195414998,15,72.6823546361,4
306,601699.XSHG,潞安环能,185.7665,325.5392883915,15,21.7026192261,4
307,601800.XSHG,中国交建,1163.9312,2891.6934659625,15,192.7795643975,4
308,601801.XSHG,皖新传媒,97.8689,143.221484770125,15,9.548098984674999,4
309,601811.XSHG,新华文轩,112.0328,136.59521837474998,15,9.10634789165,4
310,601818.XSHG,光大银行,2301.7595,4983.2625,15,332.2175,4
311,601828.XSHG,美凯龙,374.099,616.2065204568751,15,41.08043469712501,4
312,601838.XSHG,成都银行,424.0783,625.7284875,15,41.7152325,4
313,601860.XSHG,紫金银行,143.5068,181.55777591024997,15,12.10385172735,4
314,601900.XSHG,南方传媒,73.0139,90.82814721412501,15,6.055209814275,4
315,601916.XSHG,浙商银行,897.539,1706.9278875,15,113.7951925,4
316,601928.XSHG,凤凰传媒,167.7089,187.65884943825,15,12.510589962550002,4
317,601939.XSHG,建设银行,18625.8184,37316.7,15,2487.78,4
318,601988.XSHG,中国银行,9744.2363,26417.85,15,1761.19,4
319,601992.XSHG,金隅集团,318.1976,467.90065249537497,15,31.193376833025,4
320,601997.XSHG,贵阳银行,274.4978,717.1013625,15,47.8067575,4
321,601998.XSHG,中信银行,2627.8008,6627.1125,15,441.8075,4
322,603156.XSHG,养元饮品,303.845,396.85694923125,15,26.45712994875,4
323,603167.XSHG,渤海轮渡,41.4651,52.355834942250006,15,3.49038899615,4
324,603323.XSHG,苏农银行,89.2519,116.1302625,15,7.7420175,4
325,603328.XSHG,依顿电子,70.5899,86.774404631625,15,5.784960308775001,4
326,603357.XSHG,设计总院,40.5452,46.731828486750004,15,3.11545523245,4
327,603367.XSHG,辰欣药业,59.5706,61.20857881875,15,4.08057192125,4
328,603379.XSHG,三美股份,105.5518,115.202610967875,15,7.680174064525,4
329,603458.XSHG,勘设股份,39.4268,47.74829253,15,3.183219502,4
330,603556.XSHG,海兴电力,66.3633,71.792937183375,15,4.7861958122249995,4
331,603569.XSHG,长久物流,40.0037,47.274563025375,15,3.151637535025,4
332,603766.XSHG,隆鑫通用,71.0525,126.46035602474998,15,8.430690401649999,4
333,603776.XSHG,永安行,37.4785,46.977050637,15,3.1318033757999997,4
334,603858.XSHG,步长制药,249.3212,271.56448163887507,15,18.104298775925002,4
335,603980.XSHG,吉华集团,46.27,71.88861982350001,15,4.7925746549,4
